20220301-h00m00s08	[4405.66630384    0.00590637    2.0424193   552.34761253]
20220301-h00m00s57	[3256.34941919    0.00857735    2.04122102  507.31701201]
20220301-h00m01s45	[5773.07990702    0.00520046    2.01904628  536.14543507]
20220301-h00m02s33	[3758.69471004    0.00865207    2.12302307  487.90042504]
20220301-h00m03s22	[3709.79256218    0.0084603     2.06997355  485.19329519]
20220301-h00m04s10	[4373.70473736    0.00736638    2.07817069  482.6123512 ]
20220301-h00m04s58	[4842.29958043    0.00841325    2.058354    510.75219936]
20220301-h00m05s47	[3827.37554044    0.00904487    2.07594272  497.61414865]
20220301-h00m06s36	[7116.31163452    0.00547432    2.03178166  533.29617966]
20220301-h00m07s24	[4149.29698813    0.00816997    2.08946513  491.75501199]
20220301-h00m08s15	[5555.61246821    0.00689515    2.10077994  524.70342094]
20220301-h00m09s04	[5352.7683769     0.00757358    2.06700171  511.58314334]
20220301-h00m09s52	[6011.8390189     0.00777473    2.03814743  473.50500876]
20220301-h00m10s41	[4966.28076118    0.00729212    2.04622476  532.27453581]
20220301-h00m11s29	[5149.12735992    0.00853077    2.0730626   489.05344617]
20220301-h00m12s18	[4565.27926689    0.00607632    2.0491374   508.61449098]
20220301-h00m13s06	[6086.5710303     0.0071303     2.07099132  490.30548734]
20220301-h00m13s54	[4031.01155776    0.00851083    2.10505499  494.84226622]
20220301-h00m14s43	[4455.86794071    0.00932673    2.04563254  414.6731124 ]
20220301-h00m15s32	[5273.13185595    0.00575873    2.04694011  555.32750517]
20220301-h00m16s20	[4716.14834873    0.0070497     2.03948849  502.73457133]
20220301-h00m17s09	[4229.05052048    0.00833537    2.0925828   474.8024971 ]
20220301-h00m17s57	[4862.70289216    0.00736574    2.07613633  535.90105844]
20220301-h00m18s45	[5751.40059545    0.00669491    1.99820053  467.30748342]
20220301-h00m19s36	[5350.6428306     0.00844021    2.12524917  463.29351745]
20220301-h00m20s24	[3484.89528954    0.01070903    2.0448865   485.08825119]
20220301-h00m21s12	[5189.10160315    0.00776472    2.03475208  517.54950281]
20220301-h00m22s01	[4382.24735932    0.0074651     2.08624848  478.6435326 ]
20220301-h00m22s50	[4464.73495234    0.00757729    1.99341047  460.41731685]
20220301-h00m23s40	[4718.11946117    0.00671057    2.12908158  522.49306699]
20220301-h00m24s31	[2450.06845205    0.00947212    2.12663558  500.02880803]
20220301-h00m25s19	[4930.17359958    0.00619941    2.0711584   482.5706896 ]
20220301-h00m26s08	[2334.64888172    0.01056123    2.00104813  514.16904949]
20220301-h00m26s56	[2107.57969139    0.00718975    2.04561494  521.08805732]
20220301-h00m27s54	[3751.50396823    0.00738976    2.11334557  449.51391729]
20220301-h00m28s53	[2515.44071965    0.00934134    2.05292212  495.24513496]
20220301-h00m29s46	[2977.71397871    0.00697819    2.11774523  470.00793301]
20220301-h00m30s34	[1817.54321966    0.00930016    1.995861    497.28068443]
20220301-h00m31s25	[2224.79183674    0.00810062    2.13406644  497.90247631]
20220301-h00m32s15	[2065.90116064    0.00865481    2.08869786  492.57879557]
20220301-h00m33s09	[1886.83331616    0.01064407    2.06672074  487.52899491]
20220301-h00m33s57	[1955.21145092    0.01057441    1.98756866  507.54651007]
20220301-h00m34s46	[3450.83930713    0.00775563    2.01076763  509.79109961]
20220301-h00m35s36	[4469.9319778     0.00553913    2.14663805  519.78795908]
20220301-h00m36s25	[3730.69046697    0.00801283    2.11202678  505.18050114]
20220301-h00m37s13	[3892.2577086     0.00801513    2.05839186  448.4204165 ]
20220301-h00m38s06	[4379.1085157     0.00809281    2.1163924   533.27626284]
20220301-h00m39s01	[4552.63327481    0.00674015    2.1430771   480.81565776]
20220301-h00m39s51	[4058.04716236    0.00554121    1.99988889  498.66424204]
20220301-h00m40s41	[3270.51508273    0.00827499    2.12313787  495.78248887]
