x0000,y0000
-2.498518079,0,
-2.496739775,0,
-2.49496147,0,
-2.493183165,0,
-2.491404861,0,
-2.489626556,56.25,
-2.487848251,0,
-2.486069947,56.25,
-2.484291642,112.5,
-2.482513337,0,
-2.480735033,0,
-2.478956728,225,
-2.477178423,56.25,
-2.475400119,0,
-2.473621814,0,
-2.471843509,56.25,
-2.470065205,56.25,
-2.4682869,112.5,
-2.466508595,56.25,
-2.46473029,112.5,
-2.462951986,112.5,
-2.461173681,112.5,
-2.459395376,168.75,
-2.457617072,0,
-2.455838767,0,
-2.454060462,112.5,
-2.452282158,56.25,
-2.450503853,112.5,
-2.448725548,56.25,
-2.446947244,112.5,
-2.445168939,56.25,
-2.443390634,112.5,
-2.44161233,56.25,
-2.439834025,0,
-2.43805572,112.5,
-2.436277416,56.25,
-2.434499111,56.25,
-2.432720806,0,
-2.430942501,56.25,
-2.429164197,56.25,
-2.427385892,0,
-2.425607587,112.5,
-2.423829283,0,
-2.422050978,0,
-2.420272673,56.25,
-2.418494369,0,
-2.416716064,112.5,
-2.414937759,56.25,
-2.413159455,0,
-2.41138115,56.25,
-2.409602845,56.25,
-2.407824541,112.5,
-2.406046236,0,
-2.404267931,168.75,
-2.402489627,56.25,
-2.400711322,56.25,
-2.398933017,112.5,
-2.397154713,56.25,
-2.395376408,0,
-2.393598103,56.25,
-2.391819798,112.5,
-2.390041494,56.25,
-2.388263189,281.25,
-2.386484884,0,
-2.38470658,112.5,
-2.382928275,56.25,
-2.38114997,112.5,
-2.379371666,112.5,
-2.377593361,0,
-2.375815056,168.75,
-2.374036752,56.25,
-2.372258447,56.25,
-2.370480142,56.25,
-2.368701838,168.75,
-2.366923533,0,
-2.365145228,56.25,
-2.363366924,56.25,
-2.361588619,56.25,
-2.359810314,112.5,
-2.358032009,56.25,
-2.356253705,56.25,
-2.3544754,0,
-2.352697095,0,
-2.350918791,168.75,
-2.349140486,0,
-2.347362181,0,
-2.345583877,0,
-2.343805572,56.25,
-2.342027267,112.5,
-2.340248963,0,
-2.338470658,56.25,
-2.336692353,56.25,
-2.334914049,56.25,
-2.333135744,112.5,
-2.331357439,112.5,
-2.329579135,56.25,
-2.32780083,56.25,
-2.326022525,112.5,
-2.324244221,56.25,
-2.322465916,0,
-2.320687611,0,
-2.318909306,0,
-2.317131002,56.25,
-2.315352697,56.25,
-2.313574392,56.25,
-2.311796088,56.25,
-2.310017783,112.5,
-2.308239478,168.75,
-2.306461174,0,
-2.304682869,112.5,
-2.302904564,56.25,
-2.30112626,0,
-2.299347955,112.5,
-2.29756965,56.25,
-2.295791346,225,
-2.294013041,56.25,
-2.292234736,56.25,
-2.290456432,0,
-2.288678127,112.5,
-2.286899822,56.25,
-2.285121517,168.75,
-2.283343213,56.25,
-2.281564908,168.75,
-2.279786603,0,
-2.278008299,0,
-2.276229994,225,
-2.274451689,56.25,
-2.272673385,112.5,
-2.27089508,112.5,
-2.269116775,168.75,
-2.267338471,0,
-2.265560166,56.25,
-2.263781861,56.25,
-2.262003557,112.5,
-2.260225252,56.25,
-2.258446947,112.5,
-2.256668643,0,
-2.254890338,0,
-2.253112033,112.5,
-2.251333729,56.25,
-2.249555424,56.25,
-2.247777119,0,
-2.245998814,56.25,
-2.24422051,56.25,
-2.242442205,56.25,
-2.2406639,0,
-2.238885596,56.25,
-2.237107291,0,
-2.235328986,56.25,
-2.233550682,112.5,
-2.231772377,0,
-2.229994072,56.25,
-2.228215768,0,
-2.226437463,0,
-2.224659158,56.25,
-2.222880854,112.5,
-2.221102549,0,
-2.219324244,0,
-2.21754594,0,
-2.215767635,56.25,
-2.21398933,168.75,
-2.212211025,0,
-2.210432721,56.25,
-2.208654416,112.5,
-2.206876111,0,
-2.205097807,0,
-2.203319502,0,
-2.201541197,56.25,
-2.199762893,56.25,
-2.197984588,0,
-2.196206283,56.25,
-2.194427979,168.75,
-2.192649674,56.25,
-2.190871369,0,
-2.189093065,56.25,
-2.18731476,56.25,
-2.185536455,56.25,
-2.183758151,0,
-2.181979846,112.5,
-2.180201541,56.25,
-2.178423237,56.25,
-2.176644932,112.5,
-2.174866627,112.5,
-2.173088322,56.25,
-2.171310018,0,
-2.169531713,56.25,
-2.167753408,112.5,
-2.165975104,56.25,
-2.164196799,56.25,
-2.162418494,0,
-2.16064019,112.5,
-2.158861885,112.5,
-2.15708358,56.25,
-2.155305276,56.25,
-2.153526971,0,
-2.151748666,0,
-2.149970362,0,
-2.148192057,56.25,
-2.146413752,56.25,
-2.144635448,0,
-2.142857143,225,
-2.141078838,168.75,
