20160901-h00m00s18	15683.2948307
20160901-h00m00s56	15683.2967918
20160901-h00m01s39	15683.2993691
20160901-h00m02s42	15683.3039201
20160901-h00m03s18	15683.3112628
20160901-h00m03s58	15683.3095109
20160901-h00m04s33	15683.3138577
20160901-h00m05s15	15683.3215417
20160901-h00m05s51	15683.3318702
20160901-h00m06s33	15683.3321452
20160901-h00m07s10	15683.3283561
20160901-h00m07s51	15683.3395148
20160901-h00m08s28	15683.3501926
20160901-h00m09s10	15683.3527613
20160901-h00m09s47	15683.3521573
20160901-h00m10s29	15683.359723
20160901-h00m11s06	15683.3624562
20160901-h00m11s46	15683.3619375
20160901-h00m12s24	15683.3728041
20160901-h00m13s07	15683.3727602
20160901-h00m13s44	15683.3738657
20160901-h00m14s27	15683.3821311
20160901-h00m15s05	15683.3795137
20160901-h00m15s47	15683.3816915
20160901-h00m16s23	15683.3902626
20160901-h00m17s07	15683.4028938
20160901-h00m18s08	15683.4150134
20160901-h00m18s43	15683.4178599
20160901-h00m19s22	15683.4242691
20160901-h00m19s57	15683.431577
20160901-h00m20s38	15683.436207
20160901-h00m21s13	15683.4482182
20160901-h00m21s55	15683.4585138
20160901-h00m22s31	15683.4648484
20160901-h00m23s14	15683.4787579
20160901-h00m23s51	15683.4763758
20160901-h00m24s34	15683.4838479
20160901-h00m25s38	15683.4939678
20160901-h00m26s14	15683.4991689
20160901-h00m26s54	15683.5072019
20160901-h00m27s31	15683.5126261
20160901-h00m28s14	15683.5329816
20160901-h00m28s51	15683.542657
20160901-h00m29s34	15683.5484382
20160901-h00m30s12	15683.5594946
20160901-h00m30s56	15683.5712453
20160901-h00m31s35	15683.5800233
20160901-h00m32s20	15683.5867062
20160901-h00m33s23	15683.5977024
20160901-h00m34s01	15683.6064281
20160901-h00m34s40	15683.616866
20160901-h00m35s18	15683.6291474
20160901-h00m35s56	15683.6408126
20160901-h00m36s34	15683.6469023
20160901-h00m37s13	15683.6573429
20160901-h00m37s51	15683.6733956
20160901-h00m38s29	15683.6836579
20160901-h00m39s08	15683.6929282
20160901-h00m39s46	15683.7092999
20160901-h00m40s24	15683.7190404
20160901-h00m41s04	15683.7287645
20160901-h00m41s42	15683.7360921
20160901-h00m42s20	15683.7419064
20160901-h00m42s59	15683.754701
20160901-h00m43s37	15683.7657501
20160901-h00m44s16	15683.7769783
20160901-h00m44s54	15683.7898257
20160901-h00m45s33	15683.7919628
20160901-h00m46s11	15683.7983665
20160901-h00m46s50	15683.8077281
20160901-h00m47s28	15683.8201103
20160901-h00m48s07	15683.8306155
20160901-h00m48s45	15683.8423927
20160901-h00m49s25	15683.8545977
20160901-h00m50s04	15683.8662506
20160901-h00m50s43	15683.8763184
20160901-h00m51s20	15683.8913042
20160901-h00m52s16	15683.9044099
20160901-h00m52s54	15683.9130471
20160901-h00m53s33	15683.9218073
20160901-h00m54s10	15683.9270883
20160901-h00m54s49	15683.9359538
20160901-h00m55s27	15683.9468262
20160901-h00m56s07	15683.9555683
20160901-h00m56s45	15683.9669082
20160901-h00m57s23	15683.9721502
20160901-h00m58s02	15683.9781431
20160901-h00m58s40	15683.985454
20160901-h00m59s17	15684.0010104
20160901-h00m59s56	15684.010422
20160901-h01m00s34	15684.0159143
20160901-h01m01s13	15684.0238968
20160901-h01m01s50	15684.0382382
20160901-h01m02s28	15684.0443637
20160901-h01m03s07	15684.048189
20160901-h01m03s45	15684.0586336
20160901-h01m04s25	15684.0705773
20160901-h01m05s03	15684.0810802
20160901-h01m05s41	15684.0871701
20160901-h01m06s20	15684.098204
20160901-h01m06s58	15684.1016277
20160901-h01m07s37	15684.1140132
20160901-h01m08s15	15684.1220768
20160901-h01m08s54	15684.1294603
20160901-h01m09s32	15684.1432112
20160901-h01m10s10	15684.152316
20160901-h01m11s06	15684.1563947
20160901-h01m11s44	15684.1636172
20160901-h01m12s23	15684.1637338
20160901-h01m13s01	15684.1767147
20160901-h01m13s39	15684.1913599
20160901-h01m14s18	15684.2032382
20160901-h01m14s56	15684.2099506
20160901-h01m15s34	15684.2226708
20160901-h01m16s12	15684.2274053
20160901-h01m16s50	15684.2342425
20160901-h01m17s28	15684.2401296
20160901-h01m18s05	15684.2488024
20160901-h01m18s43	15684.2628489
20160901-h01m19s22	15684.2740092
20160901-h01m20s01	15684.2724624
20160901-h01m20s39	15684.2836512
20160901-h01m21s17	15684.2984186
20160901-h01m21s56	15684.30739
20160901-h01m22s34	15684.3187417
20160901-h01m23s12	15684.3236543
20160901-h01m23s51	15684.3326974
20160901-h01m24s29	15684.3508639
20160901-h01m25s08	15684.3566975
20160901-h01m25s46	15684.364867
20160901-h01m26s24	15684.3761126
20160901-h01m27s03	15684.3867129
20160901-h01m27s42	15684.3967108
20160901-h01m28s19	15684.4119348
20160901-h01m28s58	15684.4172933
20160901-h01m29s54	15684.4317494
20160901-h01m30s32	15684.4366357
20160901-h01m31s10	15684.4445398
20160901-h01m31s49	15684.4580215
20160901-h01m32s27	15684.463764
20160901-h01m33s05	15684.4764854
20160901-h01m33s43	15684.4839598
20160901-h01m34s22	15684.4880168
20160901-h01m35s00	15684.4987215
20160901-h01m35s38	15684.5074197
20160901-h01m36s16	15684.5124524
20160901-h01m36s54	15684.5158023
20160901-h01m37s33	15684.5228976
20160901-h01m38s11	15684.5297544
20160901-h01m38s49	15684.5399471
20160901-h01m39s28	15684.5539325
20160901-h01m40s06	15684.5549176
20160901-h01m40s43	15684.5703968
20160901-h01m41s21	15684.5777063
20160901-h01m42s00	15684.5914955
20160901-h01m42s39	15684.5965986
20160901-h01m43s18	15684.6117474
20160901-h01m43s57	15684.6191812
20160901-h01m44s35	15684.6267767
20160901-h01m45s13	15684.6336494
20160901-h01m45s51	15684.6386632
20160901-h01m46s30	15684.6457796
20160901-h01m47s08	15684.6523406
20160901-h01m47s47	15684.6602764
20160901-h07m57s31	15685.348117
20160901-h07m58s39	15685.2404907
20160901-h07m59s17	15685.24424
20160901-h07m59s54	15685.245828
20160901-h08m00s32	15685.2501717
20160901-h08m01s09	15685.2611078
20160901-h08m01s47	15685.2641712
20160901-h08m02s26	15685.2717643
20160901-h08m03s04	15685.288963
20160901-h08m03s43	15685.2973352
20160901-h08m04s21	15685.304725
20160901-h08m05s01	15685.3012009
20160901-h08m05s40	15685.3022721
20160901-h08m06s20	15685.3130023
20160901-h08m07s00	15685.3177558
20160901-h08m07s49	15685.3238724
20160901-h08m08s31	15685.3270148
20160901-h08m09s10	15685.3312297
20160901-h08m09s47	15685.3391907
20160901-h08m10s25	15685.3491607
20160901-h08m11s05	15685.3423043
20160901-h08m11s43	15685.352829
20160901-h08m12s22	15685.349477
20160901-h08m13s01	15685.3573137
20160901-h08m13s56	15685.3708519
20160901-h08m14s34	15685.3785901
20160901-h08m15s13	15685.3932728
20160901-h08m15s51	15685.4011164
20160901-h08m16s30	15685.4088026
20160901-h08m17s08	15685.4149326
20160901-h08m17s45	15685.4179342
20160901-h08m18s24	15685.4223642
20160901-h08m19s02	15685.4239281
20160901-h08m19s41	15685.4238217
20160901-h08m20s18	15685.4273007
20160901-h08m20s57	15685.437488
20160901-h08m21s35	15685.4446447
20160901-h08m22s13	15685.4522245
20160901-h08m22s51	15685.4604685
20160901-h08m23s29	15685.4570849
20160901-h08m24s07	15685.459884
20160901-h08m24s46	15685.4651875
20160901-h08m25s24	15685.4626376
20160901-h08m26s03	15685.4698527
20160901-h08m26s43	15685.4749215
20160901-h08m27s21	15685.4877849
20160901-h08m28s00	15685.4968966
20160901-h08m28s38	15685.4954504
20160901-h08m29s17	15685.4929
20160901-h08m29s55	15685.5047216
20160901-h08m30s34	15685.5058343
20160901-h08m31s12	15685.516702
20160901-h08m31s50	15685.5182918
20160901-h08m32s29	15685.5186922
20160901-h08m33s08	15685.5151935
20160901-h08m33s47	15685.5313601
20160901-h08m34s25	15685.5409493
20160901-h08m35s03	15685.5404004
20160901-h08m35s42	15685.5498659
20160901-h08m36s20	15685.5496416
20160901-h08m37s01	15685.5468219
20160901-h08m37s39	15685.5507674
