20220728-h15m37s05	-1.0031547019802645
20220728-h15m38s29	-1.0031547019802645
20220728-h15m50s30	-1.0031547019802645
20220728-h15m52s18	-1.0031547019802645
20220728-h15m55s30	-1.0031547019802645
20220728-h15m58s34	-1.0031547019802645
20220728-h16m23s06	-1.0031547019802645
20220728-h17m23s17	-1.0031547019802645
20220728-h17m50s58	-1.0031547019802645
20220728-h17m53s48	-1.0031547019802645
20220728-h18m00s09	-1.0031547019802645
20220728-h18m03s03	-1.0031547019802645
20220728-h18m05s56	-1.0031547019802645
20220728-h18m22s39	-1.0031547019802645
20220728-h22m26s30	-1.0031547019802645
20220729-h09m15s01	-1.0031547019802645
20220729-h09m23s06	-1.0031547019802645
20220729-h09m24s59	-1.0031547019802645
