20221006-h18m00s15	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221006-h18m02s03	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221006-h18m05s56	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221006-h18m20s59	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h16m37s01	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h16m44s21	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h16m47s33	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h17m01s22	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h17m04s24	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h17m07s08	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h17m29s54	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h17m41s55	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h17m43s08	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h17m46s01	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h17m48s05	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h19m33s42	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h19m53s16	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h20m02s36	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h20m14s39	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h20m20s31	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h20m30s24	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h20m35s21	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h20m40s29	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h20m42s38	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h20m49s45	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h20m51s44	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h21m07s17	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221012-h21m10s13	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221013-h15m38s31	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221013-h15m44s19	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221013-h16m01s51	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221013-h16m07s34	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221013-h16m36s45	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221013-h16m51s13	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221013-h16m55s18	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221013-h17m17s10	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221013-h17m25s21	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221013-h17m33s51	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221013-h17m42s41	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h17m50s31	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h17m54s57	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h17m57s42	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m01s09	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m05s03	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m07s25	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m20s24	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m22s24	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m23s45	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m27s04	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m29s53	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m34s30	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m40s20	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m44s01	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m48s31	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m52s26	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m56s54	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
20221014-h18m59s38	(8.246680715673207, 1.4359967824885795, 38975.77576796101)
