amp0	transition	omega	date
0.000000	0	0.000000	2016-10-01 23:33:50
0.050049	0	0.001557	2016-10-01 23:44:51
0.100098	0	0.003106	2016-10-01 23:55:39
0.149902	0	0.004620	2016-10-02 00:06:25
0.199951	0	0.006144	2016-10-02 00:17:09
0.300049	0	0.009229	2016-10-02 00:27:52
0.399902	0	0.012259	2016-10-02 00:38:29
0.500000	0	0.015130	2016-10-02 00:49:06
0.600098	0	0.018146	2016-10-02 00:59:44
0.699951	0	0.020520	2016-10-02 01:10:22
0.800049	0	0.022172	2016-10-02 01:20:58
0.850098	0	0.022738	2016-10-02 01:31:36
0.899902	0	0.023310	2016-10-02 01:42:15
0.949951	0	0.023710	2016-10-02 01:52:54
1.000000	0	0.024065	2016-10-02 02:03:34
