amp0	omega	transition	date
0.1	2.545583979134958	0	2022-11-17 17:36:33.686940
0.25	7.642307945891552	0	2022-11-17 17:36:33.712924
0.4	11.752423111903735	0	2022-11-17 17:36:33.734911
