amp	transition	omega	date
0.1	0	2.545583979134958	2022-11-17 17:28:35.244113
0.25	0	7.642307945891552	2022-11-17 17:28:35.270097
0.4	0	11.752423111903735	2022-11-17 17:28:35.292085
