amp	omega	transition	date
0.1	2.545583979134958	0	2022-11-17 17:31:48.857340
0.25	7.642307945891552	0	2022-11-17 17:31:48.883324
0.4	11.752423111903735	0	2022-11-17 17:31:48.905311
