amp0	omega	transition	date
0.1	2.545583979134958	0	2022-11-17 17:35:32.400688
0.25	7.642307945891552	0	2022-11-17 17:35:32.426672
0.4	11.752423111903735	0	2022-11-17 17:35:32.449658
