amp0	transition	omega	date
0.000000	0	0.000000	2016-09-21 21:57:22
0.050049	0	0.000398	2016-09-21 22:03:34
0.100098	0	0.000714	2016-09-21 22:09:45
0.149902	0	0.001048	2016-09-21 22:15:58
0.199951	0	0.001430	2016-09-21 22:22:09
0.300049	0	0.002148	2016-09-21 22:28:15
0.399902	0	0.002842	2016-09-21 22:34:14
0.500000	0	0.003531	2016-09-21 22:40:10
0.600098	0	0.004213	2016-09-21 22:46:11
0.699951	0	0.004795	2016-09-21 22:52:18
0.800049	0	0.005153	2016-09-21 22:59:12
0.850098	0	0.005295	2016-09-21 23:06:15
0.899902	0	0.005406	2016-09-21 23:13:58
0.949951	0	0.005448	2016-09-21 23:21:56
1.000000	0	0.005587	2016-09-21 23:30:36
