20160201-h00m00s43	58.2205189591	52.3750794538	14.3584595963
20160201-h00m04s10	58.2198894077	52.3741552302	14.3544191922
20160201-h00m07s37	58.2159234721	52.3751548772	14.3584595963
20160201-h00m11s04	58.2220012087	52.3710496069	14.3625000003
20160201-h00m14s31	58.22645254	52.3759404163	14.3584595963
20160201-h00m17s58	58.2261141327	52.372826214	14.3544191922
20160201-h00m21s25	58.222422889	52.3749254687	14.3422979801
20160201-h00m24s51	58.2303163784	52.380846395	14.338257576
20160201-h00m28s18	58.2270120158	52.3824808203	14.3422979801
20160201-h00m31s45	58.2319938878	52.3825085824	14.338257576
20160201-h00m35s12	58.2325257662	52.3859315234	14.334217172
20160201-h00m38s39	58.2349095858	52.3858084299	14.338257576
20160201-h00m42s07	58.2328247353	52.3846701669	14.3261363639
20160201-h00m45s34	58.234646554	52.3847362669	14.3220959599
20160201-h00m49s02	58.2351519707	52.3881329754	14.3180555558
20160201-h00m52s29	58.2355116111	52.3825740648	14.3220959599
20160201-h00m55s56	58.2391416076	52.3832363056	14.3099747478
20160201-h00m59s23	58.2354158058	52.3868107815	14.2978535356
20160201-h01m02s51	58.2330871646	52.3845767629	14.3018939397
20160201-h01m06s18	58.2372642301	52.3899647865	14.2978535356
20160201-h01m09s45	58.2398097082	52.3917082436	14.3018939397
20160201-h01m13s13	58.2423994818	52.3954358977	14.3059343437
20160201-h01m16s40	58.2453725579	52.3908266506	14.3018939397
20160201-h01m20s07	58.2444609455	52.3916541165	14.2978535356
20160201-h01m23s35	58.2499288183	52.3962887649	14.2938131316
20160201-h01m27s02	58.2486719814	52.3899470514	14.2816919195
20160201-h01m30s30	58.2433629782	52.4000082092	14.2776515154
20160201-h01m33s58	58.2478593297	52.3975085199	14.2736111114
20160201-h01m37s25	58.2447188919	52.3995708272	14.2776515154
20160201-h01m40s53	58.2517949349	52.4013837602	14.2736111114
20160201-h01m44s20	58.2502037407	52.4021748842	14.2695707074
20160201-h01m47s49	58.2513370804	52.4002677477	14.2574494952
20160201-h01m51s16	58.2527462543	52.3993794181	14.2534090912
20160201-h01m54s44	58.2500675115	52.3981565766	14.2493686872
20160201-h01m58s11	58.2502554604	52.401901263	14.2453282831
20160201-h02m01s38	58.2473352601	52.402131671	14.2412878791
20160201-h02m05s06	58.2466264927	52.4026255127	14.237247475
20160201-h02m08s33	58.2504249221	52.4062631437	14.233207071
20160201-h02m12s01	58.251819232	52.4047319438	14.229166667
20160201-h02m15s29	58.2498935859	52.4096705623	14.2251262629
20160201-h02m18s57	58.2497225823	52.404897584	14.2210858589
20160201-h02m22s26	58.2476900791	52.403722204	14.2251262629
20160201-h02m25s54	58.2450596424	52.4034369528	14.2210858589
20160201-h02m29s22	58.2427283598	52.4003090859	14.2170454548
20160201-h02m32s50	58.2380246027	52.399688814	14.2130050508
20160201-h02m36s18	58.2369098759	52.4002059695	14.2089646468
20160201-h02m39s47	58.2359678315	52.4032276312	14.2049242427
20160201-h02m43s15	58.2313083202	52.4019538365	14.2008838387
20160201-h02m46s42	58.231821354	52.3997733182	14.2049242427
20160201-h02m50s10	58.2292428946	52.3972240907	14.2008838387
20160201-h02m53s39	58.2277752066	52.394160072	14.1968434346
20160201-h02m57s06	58.2256457211	52.3936714878	14.1928030306
20160201-h03m00s34	58.2260697748	52.3922042637	14.1887626266
20160201-h03m04s02	58.2199389654	52.3935947438	14.1766414144
20160201-h03m07s30	58.2171300234	52.3919693611	14.1806818185
20160201-h03m10s59	58.2118070462	52.3917603438	14.1766414144
20160201-h03m14s27	58.2068866124	52.3917206164	14.1806818185
20160201-h03m17s56	58.209208997	52.3886992262	14.1766414144
20160201-h03m21s25	58.2070230253	52.3883366566	14.1726010104
20160201-h03m24s53	58.2068202553	52.3846104515	14.1685606064
20160201-h03m28s21	58.2021777601	52.3833679072	14.1645202023
20160201-h03m31s50	58.2026941846	52.3836674818	14.1685606064
20160201-h03m35s19	58.1991751534	52.3804026646	14.1645202023
20160201-h03m38s47	58.2028328854	52.3796472625	14.1685606064
20160201-h03m42s17	58.2002394746	52.3805050353	14.1645202023
20160201-h03m45s47	58.1998174538	52.3786541451	14.1604797983
20160201-h03m49s17	58.2025560644	52.3840106358	14.1645202023
20160201-h03m52s46	58.2021055274	52.3812915217	14.1604797983
20160201-h03m56s14	58.1986197024	52.3832355353	14.1564393942
