amp0	transition	omega	date
0.000000	0	0.000000	2016-12-26 15:54:40
0.024902	0	0.993889	2016-12-26 15:56:58
0.050049	0	2.016214	2016-12-26 15:58:37
0.100098	0	4.049459	2016-12-26 15:59:58
0.199951	0	8.191759	2016-12-26 16:01:09
0.300049	0	12.441508	2016-12-26 16:02:16
0.399902	0	16.328292	2016-12-26 16:03:21
0.500000	0	19.928439	2016-12-26 16:04:25
0.600098	0	22.888846	2016-12-26 16:05:29
0.699951	0	24.922117	2016-12-26 16:06:32
0.800049	0	26.192552	2016-12-26 16:07:36
0.899902	0	27.027478	2016-12-26 16:08:40
1.000000	0	27.575915	2016-12-26 16:09:44
