amp0	transition	omega	date
0.0	0	0.0	2023-10-05 17:09:38.997737
0.1	0	2.12132	2023-10-05 17:09:38.997737
0.2	0	4.242641	2023-10-05 17:09:38.997737
0.3	0	6.363961	2023-10-05 17:09:38.997737
0.4	0	8.485282	2023-10-05 17:09:38.997737
0.5	0	10.606602	2023-10-05 17:09:38.997737
0.6	0	12.727923	2023-10-05 17:09:38.997737
0.7	0	14.849243	2023-10-05 17:09:38.997737
0.8	0	16.970563	2023-10-05 17:09:38.997737
0.9	0	19.091884	2023-10-05 17:09:38.997737
1.0	0	21.213204	2023-10-05 17:09:38.997737
