amp0	transition	omega	date
0.000000	0	0.000000	2016-09-24 16:44:36
0.050049	0	0.000898	2016-09-24 16:49:08
0.100098	0	0.001763	2016-09-24 16:53:36
0.149902	0	0.002660	2016-09-24 16:57:55
0.199951	0	0.003544	2016-09-24 17:02:10
0.300049	0	0.005296	2016-09-24 17:06:21
0.399902	0	0.006965	2016-09-24 17:10:30
0.500000	0	0.008737	2016-09-24 17:14:38
0.600098	0	0.010299	2016-09-24 17:18:46
0.699951	0	0.011719	2016-09-24 17:22:52
0.800049	0	0.012603	2016-09-24 17:26:59
0.850098	0	0.012839	2016-09-24 17:31:05
0.899902	0	0.013270	2016-09-24 17:35:13
0.949951	0	0.013444	2016-09-24 17:39:20
1.000000	0	0.013756	2016-09-24 17:43:27
