amp0	transition	omega	date
0.000000	0	0.0	2018-03-29 22:06:41
0.153809	0	3.297965	2018-03-29 22:08:51
0.179688	0	3.862169	2018-03-29 22:10:36
0.205078	0	4.452979	2018-03-29 22:12:18
0.230957	0	4.96188	2018-03-29 22:14:00
0.256348	0	5.480202	2018-03-29 22:15:39
0.282227	0	6.019592	2018-03-29 22:17:17
0.307617	0	6.601363	2018-03-29 22:18:54
0.333496	0	7.20103	2018-03-29 22:20:30
0.358887	0	7.774414	2018-03-29 22:22:04
0.384766	0	8.379929	2018-03-29 22:23:39
0.410156	0	8.958722	2018-03-29 22:25:11
0.436035	0	9.546925	2018-03-29 22:26:43
0.461426	0	10.114341	2018-03-29 22:28:16
0.487305	0	10.694592	2018-03-29 22:29:48
0.512695	0	11.234911	2018-03-29 22:31:21
0.538574	0	11.779434	2018-03-29 22:32:51
0.563965	0	12.308031	2018-03-29 22:34:22
0.589844	0	12.834287	2018-03-29 22:35:52
0.615234	0	13.346093	2018-03-29 22:37:22
0.641113	0	13.852098	2018-03-29 22:38:52
0.666504	0	14.363929	2018-03-29 22:40:22
0.692383	0	14.872781	2018-03-29 22:41:53
0.717773	0	15.372339	2018-03-29 22:43:23
0.743652	0	15.879877	2018-03-29 22:44:54
0.769043	0	16.363646	2018-03-29 22:46:22
0.794922	0	16.870265	2018-03-29 22:47:50
0.820312	0	17.313688	2018-03-29 22:49:18
0.846191	0	17.778849	2018-03-29 22:50:47
0.871582	0	18.219933	2018-03-29 22:52:16
0.897461	0	18.66199	2018-03-29 22:53:43
0.922852	0	19.048451	2018-03-29 22:55:13
0.948730	0	19.445624	2018-03-29 22:56:42
0.974121	0	19.799445	2018-03-29 22:58:10
1.000000	0	20.148298	2018-03-29 22:59:38
