amp0	transition	omega	date
0.000000	0	0.000000	2016-06-29 06:30:13
0.050049	0	1.704703	2016-06-29 06:31:59
0.100098	0	3.426713	2016-06-29 06:33:20
0.149902	0	5.158827	2016-06-29 06:34:33
0.199951	0	6.906265	2016-06-29 06:35:42
0.300049	0	10.573516	2016-06-29 06:36:47
0.399902	0	13.975860	2016-06-29 06:37:50
0.500000	0	17.081560	2016-06-29 06:38:53
0.600098	0	19.687632	2016-06-29 06:39:55
0.649902	0	20.666897	2016-06-29 06:40:56
0.699951	0	21.440020	2016-06-29 06:41:58
0.750000	0	22.037090	2016-06-29 06:42:59
0.800049	0	22.497841	2016-06-29 06:44:01
0.850098	0	22.856801	2016-06-29 06:45:02
0.899902	0	23.158200	2016-06-29 06:46:03
0.949951	0	23.429898	2016-06-29 06:47:03
1.000000	0	23.680752	2016-06-29 06:48:04
