20220301-h00m00s01	[2212.15546763    0.0356013     0.66673253  434.57066396]
20220301-h00m00s49	[2526.97175591    0.04538151    0.67171874  322.470629  ]
20220301-h00m01s38	[3413.70840056    0.0303131     0.64785283  405.05248258]
20220301-h00m02s26	[2354.0792758     0.04995057    0.69840309  315.95037907]
20220301-h00m03s15	[3062.83427372    0.05014736    0.67525992  167.50950365]
20220301-h00m04s03	[2630.53900284    0.03716432    0.6950982   455.08606725]
20220301-h00m04s51	[3201.54010134    0.03775147    0.66822946  345.52472258]
20220301-h00m05s40	[6975.85180132    0.00562839    0.66312943  711.75772379]
20220301-h00m06s29	[2850.33960676    0.03373632    0.65137799  498.64765063]
20220301-h00m07s17	[2795.05807806    0.05063383    0.65927337  266.94160251]
20220301-h00m08s08	[3958.02166173    0.02933793    0.68298854  451.99696329]
20220301-h00m08s57	[2554.46581164    0.04939569    0.68961515  277.55007891]
20220301-h00m09s45	[2639.183186      0.04717367    0.66424122  409.52203129]
20220301-h00m10s34	[3445.28676857    0.03578433    0.66008172  327.24198108]
20220301-h00m11s22	[3003.28222159    0.04335485    0.67481984  358.71594539]
20220301-h00m12s11	[2094.2717423     0.06546268    0.6548194   218.42898829]
20220301-h00m12s59	[2630.01953098    0.05355288    0.67236218  292.83762536]
20220301-h00m13s48	[2434.28027965    0.03516925    0.67805115  456.84230455]
20220301-h00m14s36	[2553.86113165    0.04911178    0.66179636  312.45095835]
20220301-h00m15s25	[1802.94517252    0.04946051    0.66930237  403.10022653]
20220301-h00m16s13	[2810.67589455    0.03781588    0.66560139  431.81097088]
20220301-h00m17s01	[3066.93772674    0.04302512    0.69065262  304.5894928 ]
20220301-h00m17s50	[2888.47719981    0.04298374    0.66635024  321.37677155]
20220301-h00m18s38	[2853.4210077     0.03747932    0.67053017  392.12677237]
20220301-h00m19s29	[2490.10661731    0.04089559    0.69650453  347.45859717]
20220301-h00m20s17	[2000.96554148    0.04610464    0.67049328  324.55419731]
20220301-h00m21s05	[2525.84010307    0.04278177    0.65835727  286.36197256]
20220301-h00m21s54	[2968.62827101    0.04757264    0.69696804  206.71744291]
20220301-h00m22s43	[2664.70708386    0.04899357    0.64831628  278.49287131]
20220301-h00m23s33	[3024.25174919    0.0323994     0.72035431  454.99336437]
20220301-h00m24s24	[2668.41007915    0.04858424    0.70517293  343.54840365]
20220301-h00m25s12	[1894.40621922    0.04321609    0.70445195  342.29202244]
20220301-h00m26s01	[2627.32555347    0.03491387    0.66838841  378.32070907]
20220301-h00m26s49	[1640.88648994    0.05952318    0.64819086  380.74587413]
20220301-h00m27s38	[2136.18372547    0.03917292    0.66451061  462.18195555]
20220301-h00m28s37	[2331.3350365     0.04203868    0.68572122  306.26197194]
20220301-h00m29s34	[1676.55112537    0.06244799    0.65474903  262.44021602]
20220301-h00m30s27	[1949.7255338    0.0330844    0.6269897  420.5724881]
20220301-h00m31s18	[2158.57081088    0.03367397    0.70314162  506.05789206]
20220301-h00m32s08	[2666.56213353    0.02896728    0.69522447  446.19563923]
20220301-h00m32s57	[2016.19849744    0.05295163    0.67104635  332.98491829]
20220301-h00m33s50	[2166.68637405    0.04620882    0.63440625  264.27995911]
20220301-h00m34s39	[2158.50728068    0.02714543    0.64520388  457.53258462]
20220301-h00m35s29	[2405.58045565    0.04652304    0.70142269  297.30130111]
20220301-h00m36s18	[2718.93031084    0.03874122    0.69768954  427.65560791]
20220301-h00m37s06	[2723.65886097    0.03838702    0.68468617  343.11058263]
20220301-h00m37s59	[3945.82685316    0.0218157     0.69099206  484.84598298]
20220301-h00m38s54	[2049.02145989    0.05633601    0.70312297  353.23805862]
20220301-h00m39s43	[2920.2496012     0.04585779    0.66612947  245.31593683]
20220301-h00m40s34	[1904.10421145    0.05320558    0.71006034  338.11577792]
20220301-h00m41s23	[1720.55743961    0.05582236    0.67951673  373.60367448]
20220301-h00m42s11	[2546.73356256    0.02692628    0.66088252  523.1828617 ]
20220301-h00m43s02	[2236.43392832    0.0375502     0.70834061  382.47884558]
20220301-h00m43s51	[2370.71159432    0.0414359     0.64074603  447.83541032]
20220301-h00m44s39	[3670.12211334    0.01927088    0.63655427  544.00913538]
20220301-h00m45s28	[2285.06826835    0.04470883    0.66604372  351.89737584]
20220301-h00m46s16	[3619.83332574    0.01634113    0.69782097  526.30642746]
20220301-h00m47s04	[2563.64119461    0.03159719    0.67561389  421.35024801]
20220301-h00m47s57	[2368.49147703    0.03752058    0.69947154  468.52199456]
20220301-h00m48s45	[3689.71209439    0.02049886    0.6798826   554.0251151 ]
20220301-h00m49s33	[2876.6228273     0.02196065    0.66506837  531.96486905]
20220301-h00m50s23	[2428.06794733    0.02962381    0.62838054  562.55194983]
20220301-h00m51s13	[1905.88550745    0.04597176    0.69007292  373.09751133]
20220301-h00m52s06	[2060.26384922    0.0439605     0.68999828  429.80198197]
20220301-h00m52s55	[2470.23346466    0.04265538    0.68550604  338.6747006 ]
20220301-h00m53s48	[3007.61715685    0.03208862    0.71823592  419.61918356]
20220301-h00m54s38	[3600.45048623    0.03032407    0.69744765  418.51992198]
20220301-h00m55s31	[1676.36014855    0.05609143    0.72084292  419.76543783]
20220301-h00m56s20	[3302.54491947    0.02758604    0.642704    538.38111899]
20220301-h00m57s09	[2413.88975246    0.03827753    0.66211001  376.41949598]
20220301-h00m57s57	[2775.7981616     0.04123837    0.65867264  272.03168054]
20220301-h00m58s46	[2745.77075357    0.04401376    0.65695749  272.38298344]
20220301-h00m59s34	[2479.58773144    0.0472396     0.6549475   360.85535352]
20220301-h01m00s23	[1943.41940302    0.0397704     0.64205478  405.89516728]
20220301-h01m01s12	[3253.04140785    0.01721413    0.70888947  631.01521347]
20220301-h01m02s00	[3515.29208442    0.03228498    0.67372622  346.95091206]
20220301-h01m02s51	[2098.76541908    0.05210339    0.724216    318.00562442]
20220301-h01m03s39	[2723.06114674    0.03865111    0.62908432  460.32027928]
20220301-h01m04s30	[3183.52612541    0.02797513    0.70880452  575.32259795]
20220301-h01m05s18	[2163.26734324    0.05539777    0.6700825   305.59926994]
20220301-h01m06s07	[2343.56446473    0.04041956    0.68149476  476.86259482]
20220301-h01m06s57	[1991.57408416    0.04319236    0.72032862  424.48672147]
20220301-h01m07s46	[2755.81423021    0.04477839    0.65903158  388.78374205]
20220301-h01m08s37	[2211.54769473    0.05500979    0.69710188  312.73710805]
20220301-h01m09s25	[3316.42205415    0.0248657     0.64778694  493.73812297]
20220301-h01m10s14	[2467.39953213    0.03401249    0.65000386  431.74493759]
20220301-h01m11s03	[2141.34283979    0.03599669    0.69657425  474.76903795]
20220301-h01m11s51	[2144.23733919    0.04756221    0.66144052  391.03391141]
20220301-h01m12s40	[2600.28335466    0.05232413    0.66030328  273.65962658]
20220301-h01m13s31	[2760.50677809    0.04110246    0.68039975  355.34243001]
20220301-h01m14s19	[2155.01701032    0.03873457    0.68311086  471.42959652]
20220301-h01m15s07	[2878.79411594    0.03826065    0.67995361  381.95796451]
20220301-h01m15s55	[2177.34690413    0.04031575    0.6879546   413.88344124]
20220301-h01m16s44	[3156.32739141    0.04450864    0.65237905  323.22406851]
