amp0	transition	omega	date
0.000000	0	0.000000	2016-12-02 10:45:40
0.100098	0	0.552528	2016-12-02 10:49:07
0.199951	0	1.111039	2016-12-02 10:51:19
0.300049	0	1.669990	2016-12-02 10:53:05
0.399902	0	2.223712	2016-12-02 10:54:38
0.500000	0	2.783164	2016-12-02 10:56:04
0.600098	0	3.338056	2016-12-02 10:57:25
0.699951	0	3.900147	2016-12-02 10:58:43
0.800049	0	4.453004	2016-12-02 10:59:57
0.899902	0	5.005739	2016-12-02 11:01:09
1.000000	0	5.568027	2016-12-02 11:02:21
