amp0	transition	omega	date
0.000000	0	0.000000	2016-10-01 22:35:14
0.050049	0	0.000893	2016-10-01 22:39:44
0.100098	0	0.001778	2016-10-01 22:44:15
0.149902	0	0.002656	2016-10-01 22:48:35
0.199951	0	0.003543	2016-10-01 22:52:52
0.300049	0	0.005300	2016-10-01 22:57:04
0.399902	0	0.006989	2016-10-01 23:01:13
0.500000	0	0.008702	2016-10-01 23:05:21
0.600098	0	0.010280	2016-10-01 23:09:27
0.699951	0	0.011757	2016-10-01 23:13:31
0.800049	0	0.012611	2016-10-01 23:17:35
0.850098	0	0.013129	2016-10-01 23:21:38
0.899902	0	0.013345	2016-10-01 23:25:42
0.949951	0	0.013742	2016-10-01 23:29:45
1.000000	0	0.013912	2016-10-01 23:33:49
