amp0	transition	omega	date
0.000000	0	0.0	2016-07-05 13:37:17
0.100098	0	0.00187805411316	2016-07-05 13:37:17
0.199951	0	0.00375610822632	2016-07-05 13:37:17
0.300049	0	0.00563416233948	2016-07-05 13:37:17
0.399902	0	0.00751221645264	2016-07-05 13:37:17
0.500000	0	0.0093902705658	2016-07-05 13:37:17
0.600098	0	0.011268324679	2016-07-05 13:37:17
0.699951	0	0.0131463787921	2016-07-05 13:37:17
0.800049	0	0.0150244329053	2016-07-05 13:37:17
0.899902	0	0.0169024870184	2016-07-05 13:37:17
1.000000	0	0.0187805411316	2016-07-05 13:37:17
