amp0	transition	omega	date
0.000000	0	0.000000	2016-09-26 06:33:47
0.050049	0	0.001620	2016-09-26 06:42:38
0.100098	0	0.003207	2016-09-26 06:51:18
0.149902	0	0.004763	2016-09-26 06:59:53
0.199951	0	0.006601	2016-09-26 07:08:27
0.300049	0	0.009662	2016-09-26 07:16:59
0.399902	0	0.012795	2016-09-26 07:25:28
0.500000	0	0.015748	2016-09-26 07:34:00
0.600098	0	0.018649	2016-09-26 07:42:31
0.699951	0	0.021168	2016-09-26 07:51:02
0.800049	0	0.023048	2016-09-26 07:59:32
0.850098	0	0.023727	2016-09-26 08:08:03
0.899902	0	0.024124	2016-09-26 08:16:35
0.949951	0	0.025020	2016-09-26 08:25:08
1.000000	0	0.025519	2016-09-26 08:33:41
